DefectID,RuleID,TableName,SourceRowNumber,RecordID,FieldName,OriginalValue,InjectedValue,ExpectedSeverity,ExpectedIssueDescription
DEF0193,DQ010,TimeEntries,172,TE00171,AttorneyID|WorkDate|HoursWorked,A025|2025-02-16|6,A007|2026-08-03|6,Medium,Attorney A007 has more than 16 total hours on 2026-08-03.
DEF0194,DQ010,TimeEntries,173,TE00172,AttorneyID|WorkDate|HoursWorked,A021|2024-01-25|3.5,A007|2026-08-03|6,Medium,Attorney A007 has more than 16 total hours on 2026-08-03.
DEF0195,DQ010,TimeEntries,174,TE00173,AttorneyID|WorkDate|HoursWorked,A001|2025-09-03|7,A007|2026-08-03|6,Medium,Attorney A007 has more than 16 total hours on 2026-08-03.
DEF0196,DQ010,TimeEntries,175,TE00174,AttorneyID|WorkDate|HoursWorked,A019|2024-04-17|4,A008|2026-08-03|6,Medium,Attorney A008 has more than 16 total hours on 2026-08-03.
DEF0197,DQ010,TimeEntries,176,TE00175,AttorneyID|WorkDate|HoursWorked,A033|2024-03-04|5,A008|2026-08-03|6,Medium,Attorney A008 has more than 16 total hours on 2026-08-03.
DEF0198,DQ010,TimeEntries,177,TE00176,AttorneyID|WorkDate|HoursWorked,A037|2024-11-07|0.5,A008|2026-08-03|6,Medium,Attorney A008 has more than 16 total hours on 2026-08-03.
DEF0199,DQ010,TimeEntries,178,TE00177,AttorneyID|WorkDate|HoursWorked,A037|2024-09-08|1.5,A009|2026-08-03|6,Medium,Attorney A009 has more than 16 total hours on 2026-08-03.
DEF0200,DQ010,TimeEntries,179,TE00178,AttorneyID|WorkDate|HoursWorked,A023|2024-01-13|5.5,A009|2026-08-03|6,Medium,Attorney A009 has more than 16 total hours on 2026-08-03.
DEF0201,DQ010,TimeEntries,180,TE00179,AttorneyID|WorkDate|HoursWorked,A007|2024-03-04|7.5,A009|2026-08-03|6,Medium,Attorney A009 has more than 16 total hours on 2026-08-03.
DEF0202,DQ010,TimeEntries,181,TE00180,AttorneyID|WorkDate|HoursWorked,A027|2025-07-07|0.5,A010|2026-08-03|6,Medium,Attorney A010 has more than 16 total hours on 2026-08-03.
DEF0203,DQ010,TimeEntries,182,TE00181,AttorneyID|WorkDate|HoursWorked,A017|2025-12-17|8,A010|2026-08-03|6,Medium,Attorney A010 has more than 16 total hours on 2026-08-03.
DEF0204,DQ010,TimeEntries,183,TE00182,AttorneyID|WorkDate|HoursWorked,A016|2024-07-14|7.5,A010|2026-08-03|6,Medium,Attorney A010 has more than 16 total hours on 2026-08-03.
DEF0205,DQ010,TimeEntries,184,TE00183,AttorneyID|WorkDate|HoursWorked,A025|2023-04-04|2.5,A011|2026-08-03|6,Medium,Attorney A011 has more than 16 total hours on 2026-08-03.
DEF0206,DQ010,TimeEntries,185,TE00184,AttorneyID|WorkDate|HoursWorked,A008|2026-05-08|4.5,A011|2026-08-03|6,Medium,Attorney A011 has more than 16 total hours on 2026-08-03.
DEF0207,DQ010,TimeEntries,186,TE00185,AttorneyID|WorkDate|HoursWorked,A004|2026-06-16|5.5,A011|2026-08-03|6,Medium,Attorney A011 has more than 16 total hours on 2026-08-03.
DEF0208,DQ010,TimeEntries,187,TE00186,AttorneyID|WorkDate|HoursWorked,A005|2026-04-26|0.5,A012|2026-08-03|6,Medium,Attorney A012 has more than 16 total hours on 2026-08-03.
DEF0209,DQ010,TimeEntries,188,TE00187,AttorneyID|WorkDate|HoursWorked,A028|2025-10-04|0.5,A012|2026-08-03|6,Medium,Attorney A012 has more than 16 total hours on 2026-08-03.
DEF0210,DQ010,TimeEntries,189,TE00188,AttorneyID|WorkDate|HoursWorked,A014|2023-07-16|4.5,A012|2026-08-03|6,Medium,Attorney A012 has more than 16 total hours on 2026-08-03.
DEF0211,DQ010,TimeEntries,190,TE00189,AttorneyID|WorkDate|HoursWorked,A033|2025-11-02|4,A013|2026-08-03|6,Medium,Attorney A013 has more than 16 total hours on 2026-08-03.
DEF0212,DQ010,TimeEntries,191,TE00190,AttorneyID|WorkDate|HoursWorked,A022|2026-03-01|8,A013|2026-08-03|6,Medium,Attorney A013 has more than 16 total hours on 2026-08-03.
DEF0213,DQ010,TimeEntries,192,TE00191,AttorneyID|WorkDate|HoursWorked,A010|2026-03-15|7.5,A013|2026-08-03|6,Medium,Attorney A013 has more than 16 total hours on 2026-08-03.
DEF0214,DQ010,TimeEntries,193,TE00192,AttorneyID|WorkDate|HoursWorked,A007|2026-03-30|0.5,A014|2026-08-03|6,Medium,Attorney A014 has more than 16 total hours on 2026-08-03.
DEF0215,DQ010,TimeEntries,194,TE00193,AttorneyID|WorkDate|HoursWorked,A023|2024-02-11|6.5,A014|2026-08-03|6,Medium,Attorney A014 has more than 16 total hours on 2026-08-03.
DEF0216,DQ010,TimeEntries,195,TE00194,AttorneyID|WorkDate|HoursWorked,A037|2025-04-30|3.5,A014|2026-08-03|6,Medium,Attorney A014 has more than 16 total hours on 2026-08-03.
DEF0217,DQ010,TimeEntries,196,TE00195,AttorneyID|WorkDate|HoursWorked,A016|2023-09-26|0.5,A015|2026-08-03|6,Medium,Attorney A015 has more than 16 total hours on 2026-08-03.
DEF0218,DQ010,TimeEntries,197,TE00196,AttorneyID|WorkDate|HoursWorked,A018|2025-11-24|3.5,A015|2026-08-03|6,Medium,Attorney A015 has more than 16 total hours on 2026-08-03.
DEF0219,DQ010,TimeEntries,198,TE00197,AttorneyID|WorkDate|HoursWorked,A011|2025-03-20|1.5,A015|2026-08-03|6,Medium,Attorney A015 has more than 16 total hours on 2026-08-03.
DEF0220,DQ010,TimeEntries,199,TE00198,AttorneyID|WorkDate|HoursWorked,A005|2026-02-23|8,A016|2026-08-03|6,Medium,Attorney A016 has more than 16 total hours on 2026-08-03.
DEF0221,DQ010,TimeEntries,200,TE00199,AttorneyID|WorkDate|HoursWorked,A006|2025-07-08|1,A016|2026-08-03|6,Medium,Attorney A016 has more than 16 total hours on 2026-08-03.
DEF0222,DQ010,TimeEntries,201,TE00200,AttorneyID|WorkDate|HoursWorked,A034|2024-07-16|6,A016|2026-08-03|6,Medium,Attorney A016 has more than 16 total hours on 2026-08-03.
DEF0223,DQ006,Invoices,2,INV0001,InvoiceAmount,51300.73,-51300.73,Critical,Invoice amount is below zero.
DEF0224,DQ006,Invoices,3,INV0002,InvoiceAmount,71400.7,-71400.7,Critical,Invoice amount is below zero.
DEF0225,DQ006,Invoices,4,INV0003,InvoiceAmount,3800.13,-3800.13,Critical,Invoice amount is below zero.
DEF0226,DQ006,Invoices,5,INV0004,InvoiceAmount,23300.06,-23300.06,Critical,Invoice amount is below zero.
DEF0227,DQ006,Invoices,6,INV0005,InvoiceAmount,58200.75,-58200.75,Critical,Invoice amount is below zero.
DEF0228,DQ006,Invoices,7,INV0006,InvoiceAmount,13100.74,-13100.74,Critical,Invoice amount is below zero.
DEF0229,DQ006,Invoices,8,INV0007,InvoiceAmount,65700.93,-65700.93,Critical,Invoice amount is below zero.
DEF0230,DQ006,Invoices,9,INV0008,InvoiceAmount,44900.24,-44900.24,Critical,Invoice amount is below zero.
DEF0231,DQ006,Invoices,10,INV0009,InvoiceAmount,34300.17,-34300.17,Critical,Invoice amount is below zero.
DEF0232,DQ006,Invoices,11,INV0010,InvoiceAmount,54200.16,-54200.16,Critical,Invoice amount is below zero.
DEF0233,DQ006,Invoices,12,INV0011,InvoiceAmount,46000.98,-46000.98,Critical,Invoice amount is below zero.
DEF0234,DQ006,Invoices,13,INV0012,InvoiceAmount,64300.51,-64300.51,Critical,Invoice amount is below zero.
DEF0235,DQ006,Invoices,14,INV0013,InvoiceAmount,4200.1,-4200.1,Critical,Invoice amount is below zero.
DEF0236,DQ006,Invoices,15,INV0014,InvoiceAmount,7400.21,-7400.21,Critical,Invoice amount is below zero.
DEF0237,DQ006,Invoices,16,INV0015,InvoiceAmount,53100.44,-53100.44,Critical,Invoice amount is below zero.
DEF0238,DQ009,Invoices,17,INV0016,InvoiceDate,2025-12-24,2024-12-25,High,Invoice date is earlier than the related matter open date.
DEF0239,DQ009,Invoices,18,INV0017,InvoiceDate,2025-08-16,2023-11-23,High,Invoice date is earlier than the related matter open date.
DEF0240,DQ009,Invoices,19,INV0018,InvoiceDate,2025-03-07,2025-01-22,High,Invoice date is earlier than the related matter open date.
DEF0241,DQ009,Invoices,20,INV0019,InvoiceDate,2024-06-04,2024-01-29,High,Invoice date is earlier than the related matter open date.
DEF0242,DQ009,Invoices,21,INV0020,InvoiceDate,2026-04-24,2025-08-08,High,Invoice date is earlier than the related matter open date.
DEF0243,DQ009,Invoices,22,INV0021,InvoiceDate,2025-01-03,2024-05-01,High,Invoice date is earlier than the related matter open date.
DEF0244,DQ009,Invoices,23,INV0022,InvoiceDate,2024-01-07,2023-07-03,High,Invoice date is earlier than the related matter open date.
DEF0245,DQ009,Invoices,24,INV0023,InvoiceDate,2025-09-12,2025-04-22,High,Invoice date is earlier than the related matter open date.
DEF0246,DQ009,Invoices,25,INV0024,InvoiceDate,2025-01-27,2023-04-28,High,Invoice date is earlier than the related matter open date.
DEF0247,DQ009,Invoices,26,INV0025,InvoiceDate,2025-11-23,2024-06-07,High,Invoice date is earlier than the related matter open date.
DEF0248,DQ009,Invoices,27,INV0026,InvoiceDate,2026-03-09,2024-04-10,High,Invoice date is earlier than the related matter open date.
DEF0249,DQ009,Invoices,28,INV0027,InvoiceDate,2025-05-25,2025-04-25,High,Invoice date is earlier than the related matter open date.
DEF0250,DQ009,Invoices,29,INV0028,InvoiceDate,2025-02-10,2023-12-24,High,Invoice date is earlier than the related matter open date.
DEF0251,DQ009,Invoices,30,INV0029,InvoiceDate,2025-05-30,2025-03-21,High,Invoice date is earlier than the related matter open date.
DEF0252,DQ009,Invoices,31,INV0030,InvoiceDate,2024-12-10,2023-03-23,High,Invoice date is earlier than the related matter open date.
DEF0253,DQ009,Invoices,32,INV0031,InvoiceDate,2025-03-03,2025-01-07,High,Invoice date is earlier than the related matter open date.
DEF0254,DQ009,Invoices,33,INV0032,InvoiceDate,2025-03-31,2024-12-12,High,Invoice date is earlier than the related matter open date.
DEF0255,DQ009,Invoices,34,INV0033,InvoiceDate,2024-12-01,2024-05-28,High,Invoice date is earlier than the related matter open date.
DEF0256,DQ009,Invoices,35,INV0034,InvoiceDate,2026-05-08,2025-09-01,High,Invoice date is earlier than the related matter open date.
DEF0257,DQ009,Invoices,36,INV0035,InvoiceDate,2026-02-23,2025-03-16,High,Invoice date is earlier than the related matter open date.
DEF0258,DQ009,Invoices,37,INV0036,InvoiceDate,2024-04-13,2023-03-21,High,Invoice date is earlier than the related matter open date.
DEF0259,DQ009,Invoices,38,INV0037,InvoiceDate,2024-08-08,2024-05-11,High,Invoice date is earlier than the related matter open date.
DEF0260,DQ009,Invoices,39,INV0038,InvoiceDate,2025-05-29,2024-04-09,High,Invoice date is earlier than the related matter open date.
DEF0261,DQ009,Invoices,40,INV0039,InvoiceDate,2025-06-15,2025-01-25,High,Invoice date is earlier than the related matter open date.
DEF0262,DQ009,Invoices,41,INV0040,InvoiceDate,2025-06-10,2025-04-03,High,Invoice date is earlier than the related matter open date.
DEF0263,DQ008,Attorneys,2,A001,BillingRate,650,,Medium,Attorney has no standard billing rate.
DEF0264,DQ008,Attorneys,3,A002,BillingRate,550,,Medium,Attorney has no standard billing rate.
DEF0265,DQ008,Attorneys,4,A003,BillingRate,425,,Medium,Attorney has no standard billing rate.
DEF0266,DQ008,Attorneys,5,A004,BillingRate,725,,Medium,Attorney has no standard billing rate.
DEF0267,DQ008,Attorneys,6,A005,BillingRate,625,,Medium,Attorney has no standard billing rate.
DEF0268,DQ008,Attorneys,7,A006,BillingRate,375,,Medium,Attorney has no standard billing rate.
